driverId,raceId,milliseconds,year,name,driverRef,constructorId,constructorRef,rank
840,1106,81467.85714285714,2023,Canadian Grand Prix,stroll,117.0,aston_martin,10.0
822,1106,81468.28571428571,2023,Canadian Grand Prix,bottas,51.0,alfa,11.0
857,1106,81477.84285714285,2023,Canadian Grand Prix,piastri,1.0,mclaren,12.0
842,1106,81479.95714285714,2023,Canadian Grand Prix,gasly,214.0,alpine,13.0
852,1106,81596.72857142857,2023,Canadian Grand Prix,tsunoda,213.0,alphatauri,14.0
858,1106,81678.66666666667,2023,Canadian Grand Prix,sargeant,3.0,williams,15.0
807,1106,81960.73913043478,2023,Canadian Grand Prix,hulkenberg,210.0,haas,16.0
855,1106,81967.02898550725,2023,Canadian Grand Prix,zhou,51.0,alfa,17.0
825,1106,82733.43478260869,2023,Canadian Grand Prix,kevin_magnussen,210.0,haas,18.0
847,1106,82788.64150943396,2023,Canadian Grand Prix,russell,131.0,mercedes,19.0
856,1106,82801.66666666667,2023,Canadian Grand Prix,de_vries,213.0,alphatauri,20.0
830,1107,72304.32394366198,2023,Austrian Grand Prix,max_verstappen,9.0,red_bull,1.0
844,1107,72376.92957746479,2023,Austrian Grand Prix,leclerc,6.0,ferrari,2.0
815,1107,72546.40845070423,2023,Austrian Grand Prix,perez,9.0,red_bull,3.0
832,1107,72605.40845070423,2023,Austrian Grand Prix,sainz,6.0,ferrari,4.0
846,1107,72675.12676056338,2023,Austrian Grand Prix,norris,1.0,mclaren,5.0
4,1107,72731.32394366198,2023,Austrian Grand Prix,alonso,117.0,aston_martin,6.0
1,1107,72856.38028169014,2023,Austrian Grand Prix,hamilton,131.0,mercedes,7.0
847,1107,72986.05633802817,2023,Austrian Grand Prix,russell,131.0,mercedes,8.0
842,1107,73116.5352112676,2023,Austrian Grand Prix,gasly,214.0,alpine,9.0
840,1107,73135.91549295775,2023,Austrian Grand Prix,stroll,117.0,aston_martin,10.0
848,1107,73286.95774647887,2023,Austrian Grand Prix,albon,3.0,williams,11.0
839,1107,73510.67142857143,2023,Austrian Grand Prix,ocon,214.0,alpine,12.0
858,1107,73571.3,2023,Austrian Grand Prix,sargeant,3.0,williams,13.0
855,1107,73689.14285714286,2023,Austrian Grand Prix,zhou,51.0,alfa,14.0
856,1107,73761.57142857143,2023,Austrian Grand Prix,de_vries,213.0,alphatauri,15.0
822,1107,73948.34285714285,2023,Austrian Grand Prix,bottas,51.0,alfa,16.0
852,1107,73978.28571428571,2023,Austrian Grand Prix,tsunoda,213.0,alphatauri,17.0
857,1107,74002.5142857143,2023,Austrian Grand Prix,piastri,1.0,mclaren,18.0
825,1107,74075.14285714286,2023,Austrian Grand Prix,kevin_magnussen,210.0,haas,19.0
807,1107,82047.91666666667,2023,Austrian Grand Prix,hulkenberg,210.0,haas,20.0
825,1108,94706.6129032258,2023,British Grand Prix,kevin_magnussen,210.0,haas,1.0
839,1108,95150.11111111111,2023,British Grand Prix,ocon,214.0,alpine,2.0
830,1108,98402.65384615384,2023,British Grand Prix,max_verstappen,9.0,red_bull,3.0
846,1108,98475.69230769231,2023,British Grand Prix,norris,1.0,mclaren,4.0
1,1108,98533.09615384616,2023,British Grand Prix,hamilton,131.0,mercedes,5.0
857,1108,98552.19230769231,2023,British Grand Prix,piastri,1.0,mclaren,6.0
