resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25874,1099,842,214,10,9,9,9,9,2,50,54.747,4929641,50,10,01:33.4,237.99,1
25875,1099,825,210,20,13,10,10,10,1,50,+1:04.826,4939720,44,9,01:33.4,238.036,1
25876,1099,852,213,22,16,11,11,11,0,50,+1:07.494,4942388,50,14,01:33.9,236.624,1
25877,1099,807,210,27,10,12,12,12,0,50,+1:10.588,4945482,50,12,01:33.8,237.005,1
25878,1099,855,51,24,11,13,13,13,0,50,+1:16.060,4950954,49,13,01:33.9,236.718,1
25879,1099,856,213,21,18,14,14,14,0,50,+1:17.478,4952372,49,11,01:33.6,237.438,1
25880,1099,857,1,81,8,15,15,15,0,50,+1:25.021,4959915,48,16,01:34.3,235.731,1
25881,1099,858,3,2,20,16,16,16,0,50,+1:26.293,4961187,49,18,01:34.5,235.277,1
25882,1099,846,1,4,19,17,17,17,0,50,+1:26.445,4961339,49,15,01:34.1,236.144,1
25883,1099,822,51,77,14,18,18,18,0,49,\N,\N,37,17,01:34.4,235.489,11
25884,1099,848,3,23,17,\N,R,19,0,27,\N,\N,24,20,01:35.6,232.574,23
25885,1099,840,117,18,5,\N,R,20,0,16,\N,\N,7,19,01:35.1,233.617,5
25886,1100,830,9,1,1,1,1,1,25,58,32:38.4,9158371,49,2,01:20.3,236.498,1
25887,1100,1,131,44,3,2,2,2,18,58,0.179,9158550,49,5,01:20.6,235.703,1
25888,1100,4,117,14,4,3,3,3,15,58,0.769,9159140,53,4,01:20.5,236.105,1
25889,1100,840,117,18,6,4,4,4,12,58,3.082,9161453,50,6,01:20.9,234.769,1
25890,1100,815,9,11,0,5,5,5,11,58,3.32,9161691,53,1,01:20.2,236.814,1
25891,1100,846,1,4,13,6,6,6,8,58,3.701,9162072,46,9,01:21.2,234.077,1
25892,1100,807,210,27,10,7,7,7,6,58,4.939,9163310,46,8,01:21.1,234.219,1
25893,1100,857,1,81,16,8,8,8,4,58,5.382,9163753,53,12,01:21.3,233.611,1
25894,1100,855,51,24,17,9,9,9,2,58,5.713,9164084,48,16,01:21.8,232.229,1
25895,1100,852,213,22,12,10,10,10,1,58,6.052,9164423,52,15,01:21.8,232.314,1
25896,1100,822,51,77,0,11,11,11,0,58,6.513,9164884,46,17,01:22.2,231.06,1
25897,1100,832,6,55,5,12,12,12,0,58,6.594,9164965,53,3,01:20.5,236.131,1
25898,1100,842,214,10,9,13,13,13,0,56,\N,\N,47,7,01:21.0,234.592,4
25899,1100,839,214,31,11,14,14,14,0,56,\N,\N,44,11,01:21.2,233.991,4
25900,1100,856,213,21,15,15,15,15,0,56,\N,\N,50,10,01:21.2,234.049,4
25901,1100,858,3,2,18,16,16,16,0,56,\N,\N,50,13,01:21.5,233.264,4
25902,1100,825,210,20,14,17,17,17,0,52,\N,\N,52,14,01:21.7,232.61,3
25903,1100,847,131,63,2,\N,R,18,0,17,\N,\N,16,18,01:22.7,229.811,5
25904,1100,848,3,23,8,\N,R,19,0,6,\N,\N,6,19,01:23.3,227.966,3
25905,1100,844,6,16,7,\N,R,20,0,0,\N,\N,\N,0,\N,\N,4
25906,1101,815,9,11,3,1,1,1,25,51,32:42.4,5562436,50,5,01:44.6,206.625,1
25907,1101,830,9,1,2,2,2,2,18,51,2.137,5564573,51,2,01:44.2,207.333,1
25908,1101,844,6,16,1,3,3,3,15,51,21.217,5583653,49,4,01:44.6,206.681,1
25909,1101,4,117,14,6,4,4,4,12,51,22.024,5584460,49,3,01:44.2,207.315,1
25910,1101,832,6,55,4,5,5,5,10,51,45.491,5607927,48,6,01:45.2,205.474,1
25911,1101,1,131,44,5,6,6,6,8,51,46.145,5608581,48,7,01:45.3,205.141,1
25912,1101,840,117,18,9,7,7,7,6,51,51.617,5614053,45,9,01:45.6,204.595,1
25913,1101,847,131,63,11,8,8,8,5,51,+1:14.240,5636676,51,1,01:43.4,209.062,1
25914,1101,846,1,4,7,9,9,9,2,51,+1:20.376,5642812,49,12,01:45.7,204.38,1
25915,1101,852,213,22,8,10,10,10,1,51,+1:23.862,5646298,51,11,01:45.7,204.401,1
25916,1101,857,1,81,10,11,11,11,0,51,+1:26.501,5648937,51,10,01:45.6,204.587,1
25917,1101,848,3,23,12,12,12,12,0,51,+1:28.623,5651059,51,15,01:45.9,204.019,1
25918,1101,825,210,20,16,13,13,13,0,51,+1:29.729,5652165,51,13,01:45.9,204.164,1
25919,1101,842,214,10,17,14,14,14,0,51,+1:31.332,5653768,47,8,01:45.5,204.764,1
25920,1101,839,214,31,0,15,15,15,0,51,+1:37.794,5660230,49,14,01:45.9,204.052,1
25921,1101,858,3,2,14,16,16,16,0,51,+1:40.943,5663379,49,17,01:46.5,202.916,1
25922,1101,807,210,27,0,17,17,17,0,50,\N,\N,34,18,01:46.7,202.479,11
25923,1101,822,51,77,13,18,18,18,0,50,\N,\N,36,16,01:46.3,203.292,11
25924,1101,855,51,24,15,\N,R,19,0,36,\N,\N,31,19,01:47.6,200.931,25
25925,1101,856,213,21,18,\N,R,20,0,9,\N,\N,4,20,01:48.8,198.663,3
25926,1102,830,9,1,9,1,1,1,26,57,27:38.2,5258241,56,1,01:29.7,217.184,1
25927,1102,815,9,11,1,2,2,2,18,57,5.384,5263625,57,3,01:30.6,215.141,1
25928,1102,4,117,14,2,3,3,3,15,57,26.305,5284546,57,2,01:30.5,215.238,1
25929,1102,847,131,63,6,4,4,4,12,57,33.229,5291470,57,7,01:31.0,214.065,1
25930,1102,832,6,55,3,5,5,5,10,57,42.511,5300752,55,10,01:31.4,213.252,1
25931,1102,1,131,44,13,6,6,6,8,57,51.249,5309490,57,4,01:30.7,214.882,1
25932,1102,844,6,16,7,7,7,7,6,57,52.988,5311229,57,11,01:31.4,213.084,1
25933,1102,842,214,10,5,8,8,8,4,57,55.67,5313911,55,17,01:32.0,211.84,1
25934,1102,839,214,31,8,9,9,9,2,57,58.123,5316364,56,9,01:31.1,213.765,1
25935,1102,825,210,20,4,10,10,10,1,57,+1:02.945,5321186,53,13,01:31.7,212.487,1
25936,1102,852,213,22,17,11,11,11,0,57,+1:04.309,5322550,56,8,01:31.0,214.011,1
25937,1102,840,117,18,18,12,12,12,0,57,+1:04.754,5322995,44,5,01:30.9,214.426,1
25938,1102,822,51,77,10,13,13,13,0,57,+1:11.637,5329878,56,15,01:31.8,212.147,1
25939,1102,848,3,23,11,14,14,14,0,57,+1:12.861,5331102,55,16,01:31.9,212.115,1
25940,1102,807,210,27,12,15,15,15,0,57,+1:14.950,5333191,36,6,01:30.9,214.334,1
25941,1102,855,51,24,14,16,16,16,0,57,+1:18.440,5336681,56,14,01:31.7,212.383,1
25942,1102,846,1,4,16,17,17,17,0,57,+1:27.717,5345958,47,20,01:32.4,210.854,1
25943,1102,856,213,21,15,18,18,18,0,57,+1:28.949,5347190,57,12,01:31.6,212.786,1
25944,1102,857,1,81,19,19,19,19,0,56,\N,\N,56,18,01:32.0,211.76,11
25945,1102,858,3,2,20,20,20,20,0,56,\N,\N,50,19,01:32.4,210.893,11
25946,1104,830,9,1,1,1,1,1,25,78,48:52.0,6531980,23,7,01:16.6,156.822,1
25947,1104,4,117,14,2,2,2,2,18,78,27.921,6559901,43,9,01:16.7,156.678,1
25948,1104,839,214,31,3,3,3,3,15,78,36.99,6568970,41,6,01:16.5,156.977,1
25949,1104,1,131,44,5,4,4,4,13,78,39.062,6571042,33,1,01:15.7,158.799,1
25950,1104,847,131,63,8,5,5,5,10,78,56.284,6588264,48,10,01:16.8,156.425,1
