qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
10172,1126,830,9,1,1,01:27:07,01:27:06,01:27:02
10173,1126,844,6,16,2,01:28:01,01:27:05,01:27:04
10174,1126,832,6,55,3,01:27:09,01:27:09,01:27:05
10175,1126,815,9,11,4,01:27:08,01:27:08,01:27:05
10176,1126,846,1,4,5,01:27:09,01:27:09,01:27:06
10177,1126,857,1,81,6,01:28:00,01:27:07,01:27:07
10178,1126,847,131,63,7,01:28:02,01:28:01,01:28:01
10179,1126,1,131,44,8,01:28:02,01:27:07,01:28:01
10180,1126,807,210,27,9,01:28:04,01:28:02,01:28:01
10181,1126,852,215,22,10,01:28:03,01:28:02,01:28:02
10182,1126,840,117,18,11,01:28:02,01:28:02,00:00:00
10183,1126,842,214,10,12,01:28:00,01:28:03,00:00:00
10184,1126,839,214,31,13,01:28:02,01:28:04,00:00:00
10185,1126,848,3,23,14,01:28:03,01:28:04,00:00:00
10186,1126,4,117,14,15,01:28:05,01:28:04,00:00:00
10187,1126,822,15,77,16,01:28:05,00:00:00,00:00:00
10188,1126,858,3,2,17,01:28:05,00:00:00,00:00:00
10189,1126,817,215,3,18,01:28:06,00:00:00,00:00:00
10190,1126,825,210,20,19,01:28:06,00:00:00,00:00:00
10191,1126,855,15,24,20,01:28:08,00:00:00,00:00:00
10192,1127,830,9,1,1,01:15:08,01:15:02,01:14:07
10193,1127,857,1,81,2,01:15:09,01:15:04,01:14:08
10194,1127,846,1,4,3,01:15:09,01:15:04,01:14:08
10195,1127,844,6,16,4,01:15:08,01:15:03,01:15:00
10196,1127,832,6,55,5,01:16:00,01:15:05,01:15:02
10197,1127,847,131,63,6,01:16:01,01:15:07,01:15:02
10198,1127,852,215,22,7,01:15:09,01:15:04,01:15:05
10199,1127,1,131,44,8,01:16:06,01:15:07,01:15:05
10200,1127,817,215,3,9,01:16:01,01:15:07,01:15:07
10201,1127,807,210,27,10,01:15:08,01:15:06,01:16:00
10202,1127,815,9,11,11,01:16:04,01:15:07,
10203,1127,839,214,31,12,01:16:04,01:15:09,
10204,1127,840,117,18,13,01:16:05,01:16:00,
10205,1127,848,3,23,14,01:16:05,01:16:02,
10206,1127,842,214,10,15,01:16:00,01:16:04,
10207,1127,822,15,77,16,01:16:06,,
10208,1127,855,15,24,17,01:16:08,,
10209,1127,825,210,20,18,01:16:09,,
10210,1127,4,117,14,19,01:16:09,,
10211,1127,858,3,2,20,00:00:00,00:00:00,00:00:00
10212,1128,844,6,16,1,01:11:06,01:10:08,01:10:03
10213,1128,857,1,81,2,01:11:05,01:10:08,01:10:04
10214,1128,832,6,55,3,01:11:05,01:11:01,01:10:05
10215,1128,846,1,4,4,01:11:08,01:10:07,01:10:05
10216,1128,847,131,63,5,01:11:05,01:10:09,01:10:05
10217,1128,830,9,1,6,01:11:07,01:10:07,01:10:06
10218,1128,1,131,44,7,01:11:05,01:11:01,01:10:06
10219,1128,852,215,22,8,01:11:09,01:11:01,01:10:09
10220,1128,848,3,23,9,01:11:06,01:11:02,01:10:09
10221,1128,842,214,10,10,01:11:07,01:10:09,01:11:03
10222,1128,839,214,31,11,01:11:09,01:11:03,00:00:00
