raceId,adjusted_avg_laptime,year,DPS,driverRef,driverId,constructorRef,rank,inverse_adjustment_factor,avg_laptime,name
1108,97528.88239,2023,11,alonso,4,aston_martin,10,0.987801418,98733.28846,British Grand Prix
1108,97597.26911,2023,10,albon,848,williams,11,0.988362191,98746.46154,British Grand Prix
1108,97629.37219,2023,9,stroll,840,aston_martin,12,0.987801418,98835.01923,British Grand Prix
1108,97706.63519,2023,8,sargeant,858,williams,13,0.988362191,98857.11538,British Grand Prix
1108,98363.60115,2023,7,hamilton,1,mercedes,14,0.998279817,98533.09615,British Grand Prix
1108,98448.51253,2023,6,russell,847,mercedes,15,0.998279817,98618.15385,British Grand Prix
1108,98475.69231,2023,5,norris,846,mclaren,16,1,98475.69231,British Grand Prix
1108,98552.19231,2023,4,piastri,857,mclaren,17,1,98552.19231,British Grand Prix
1108,98705.36306,2023,3,leclerc,844,ferrari,18,0.999425947,98762.05769,British Grand Prix
1108,98719.95083,2023,2,sainz,832,ferrari,19,0.999425947,98776.65385,British Grand Prix
1108,99917.16632,2023,1,gasly,842,alpine,20,0.987241282,101208.4565,British Grand Prix
1109,83890.46527,2023,20,hamilton,1,mercedes,1,0.990648178,84682.4,Hungarian Grand Prix
1109,83906.76134,2023,19,albon,848,williams,2,0.978343949,85764.07246,Hungarian Grand Prix
1109,84123.34286,2023,18,max_verstappen,830,red_bull,3,1,84123.34286,Hungarian Grand Prix
1109,84268.19942,2023,17,russell,847,mercedes,4,0.990648178,85063.7,Hungarian Grand Prix
1109,84535.10851,2023,16,sargeant,858,williams,5,0.978343949,86406.32836,Hungarian Grand Prix
1109,84546.93958,2023,15,ricciardo,817,alphatauri,6,0.984615385,85867.98551,Hungarian Grand Prix
1109,84571.71334,2023,14,alonso,4,aston_martin,7,0.992568659,85204.9,Hungarian Grand Prix
1109,84605.21429,2023,13,norris,846,mclaren,8,1,84605.21429,Hungarian Grand Prix
1109,84643.14624,2023,12,leclerc,844,ferrari,9,0.995140914,85056.44286,Hungarian Grand Prix
1109,84660.52857,2023,11,perez,815,red_bull,10,1,84660.52857,Hungarian Grand Prix
1109,84724.97526,2023,10,sainz,832,ferrari,11,0.995140914,85138.67143,Hungarian Grand Prix
1109,84765.06756,2023,9,tsunoda,852,alphatauri,12,0.984615385,86089.52174,Hungarian Grand Prix
1109,84843.15141,2023,8,hulkenberg,807,haas,13,0.985563041,86085.97101,Hungarian Grand Prix
1109,84918.54992,2023,7,stroll,840,aston_martin,14,0.992568659,85554.33333,Hungarian Grand Prix
1109,85017.22857,2023,6,piastri,857,mclaren,15,1,85017.22857,Hungarian Grand Prix
1109,85286.69763,2023,5,kevin_magnussen,825,haas,16,0.985563041,86536.01449,Hungarian Grand Prix
1109,85555.64811,2023,4,bottas,822,alfa,17,0.997402597,85778.44928,Hungarian Grand Prix
1109,85995.25692,2023,3,zhou,855,alfa,18,0.997402597,86219.2029,Hungarian Grand Prix
1109,102933.7592,2023,2,ocon,839,alpine,19,0.989053445,104073,Hungarian Grand Prix
1109,123612.8886,2023,1,gasly,842,alpine,20,0.989053445,124981,Hungarian Grand Prix
1110,101592.1714,2023,20,albon,848,williams,1,0.885749896,114696.2273,Belgian Grand Prix
1110,101759.095,2023,19,sargeant,858,williams,2,0.885749896,114884.6818,Belgian Grand Prix
1110,103510.4644,2023,18,kevin_magnussen,825,haas,3,0.901479915,114822.8182,Belgian Grand Prix
1110,103688.6296,2023,17,hulkenberg,807,haas,4,0.901479915,115020.4545,Belgian Grand Prix
1110,103992.6948,2023,16,tsunoda,852,alphatauri,5,0.909556314,114333.4318,Belgian Grand Prix
1110,104006.6904,2023,15,bottas,822,alfa,6,0.908780904,114446.3864,Belgian Grand Prix
1110,104218.3951,2023,14,zhou,855,alfa,7,0.908780904,114679.3409,Belgian Grand Prix
1110,104465.0439,2023,13,ricciardo,817,alphatauri,8,0.909556314,114852.75,Belgian Grand Prix
1110,106143.1036,2023,12,ocon,839,alpine,9,0.929380994,114208.3864,Belgian Grand Prix
1110,106319.7916,2023,11,gasly,842,alpine,10,0.929380994,114398.5,Belgian Grand Prix
1110,112001.004,2023,10,alonso,4,aston_martin,11,0.984302862,113787.1364,Belgian Grand Prix
1110,112510.2273,2023,9,max_verstappen,830,red_bull,12,1,112510.2273,Belgian Grand Prix
1110,112519.0158,2023,8,stroll,840,aston_martin,13,0.984302862,114313.4091,Belgian Grand Prix
1110,112714.7058,2023,7,leclerc,844,ferrari,14,0.995331466,113243.3864,Belgian Grand Prix
1110,112740.1537,2023,6,hamilton,1,mercedes,15,0.992089344,113639.1136,Belgian Grand Prix
1110,113017.1591,2023,5,perez,815,red_bull,16,1,113017.1591,Belgian Grand Prix
1110,113042.9664,2023,4,russell,847,mercedes,17,0.992089344,113944.3409,Belgian Grand Prix
1110,113177.0456,2023,3,norris,846,mclaren,18,0.991166899,114185.6591,Belgian Grand Prix
1110,116576.8997,2023,2,sainz,832,ferrari,19,0.995331466,117123.6957,Belgian Grand Prix
1111,73488.42917,2023,20,zhou,855,alfa,1,0.872627067,84215.16129,Dutch Grand Prix
1111,86140.8832,2023,19,leclerc,844,ferrari,2,0.98615917,87349.87805,Dutch Grand Prix
1111,89512.87258,2023,18,sargeant,858,williams,3,0.962187711,93030.57143,Dutch Grand Prix
1111,105100.6462,2023,17,bottas,822,alfa,4,0.872627067,120441.6528,Dutch Grand Prix
1111,105457.8826,2023,16,tsunoda,852,alphatauri,5,0.875845114,120407,Dutch Grand Prix
1111,105473.1369,2023,15,lawson,859,alphatauri,6,0.875845114,120424.4167,Dutch Grand Prix
